year,month,day,hour,minute,MOER,timestamp
2022.0,4.0,1.0,0.0,0.0,56.0,2022-04-01T00:00:00+00:00
2022.0,4.0,1.0,0.0,5.0,56.0,2022-04-01T00:05:00+00:00
2022.0,4.0,1.0,0.0,10.0,71.0,2022-04-01T00:10:00+00:00
2022.0,4.0,1.0,0.0,15.0,69.0,2022-04-01T00:15:00+00:00
2022.0,4.0,1.0,0.0,20.0,91.0,2022-04-01T00:20:00+00:00
2022.0,4.0,1.0,0.0,25.0,295.0,2022-04-01T00:25:00+00:00
2022.0,4.0,1.0,0.0,30.0,886.0,2022-04-01T00:30:00+00:00
2022.0,4.0,1.0,0.0,35.0,884.0,2022-04-01T00:35:00+00:00
2022.0,4.0,1.0,0.0,40.0,895.0,2022-04-01T00:40:00+00:00
2022.0,4.0,1.0,0.0,45.0,892.0,2022-04-01T00:45:00+00:00
2022.0,4.0,1.0,0.0,50.0,890.0,2022-04-01T00:50:00+00:00
2022.0,4.0,1.0,0.0,55.0,887.0,2022-04-01T00:55:00+00:00
2022.0,4.0,1.0,1.0,0.0,885.0,2022-04-01T01:00:00+00:00
2022.0,4.0,1.0,1.0,5.0,882.0,2022-04-01T01:05:00+00:00
2022.0,4.0,1.0,1.0,10.0,906.0,2022-04-01T01:10:00+00:00
2022.0,4.0,1.0,1.0,15.0,943.0,2022-04-01T01:15:00+00:00
2022.0,4.0,1.0,1.0,20.0,967.0,2022-04-01T01:20:00+00:00
2022.0,4.0,1.0,1.0,25.0,977.0,2022-04-01T01:25:00+00:00
2022.0,4.0,1.0,1.0,30.0,971.0,2022-04-01T01:30:00+00:00
2022.0,4.0,1.0,1.0,35.0,971.0,2022-04-01T01:35:00+00:00
2022.0,4.0,1.0,1.0,40.0,969.0,2022-04-01T01:40:00+00:00
2022.0,4.0,1.0,1.0,45.0,966.0,2022-04-01T01:45:00+00:00
2022.0,4.0,1.0,1.0,50.0,964.0,2022-04-01T01:50:00+00:00
2022.0,4.0,1.0,1.0,55.0,961.0,2022-04-01T01:55:00+00:00
2022.0,4.0,1.0,2.0,0.0,959.0,2022-04-01T02:00:00+00:00
2022.0,4.0,1.0,2.0,5.0,972.0,2022-04-01T02:05:00+00:00
2022.0,4.0,1.0,2.0,10.0,959.0,2022-04-01T02:10:00+00:00
2022.0,4.0,1.0,2.0,15.0,950.0,2022-04-01T02:15:00+00:00
2022.0,4.0,1.0,2.0,20.0,941.0,2022-04-01T02:20:00+00:00
2022.0,4.0,1.0,2.0,25.0,936.0,2022-04-01T02:25:00+00:00
2022.0,4.0,1.0,2.0,30.0,933.0,2022-04-01T02:30:00+00:00
2022.0,4.0,1.0,2.0,35.0,930.0,2022-04-01T02:35:00+00:00
2022.0,4.0,1.0,2.0,40.0,927.0,2022-04-01T02:40:00+00:00
2022.0,4.0,1.0,2.0,45.0,925.0,2022-04-01T02:45:00+00:00
2022.0,4.0,1.0,2.0,50.0,923.0,2022-04-01T02:50:00+00:00
2022.0,4.0,1.0,2.0,55.0,922.0,2022-04-01T02:55:00+00:00
2022.0,4.0,1.0,3.0,0.0,924.0,2022-04-01T03:00:00+00:00
2022.0,4.0,1.0,3.0,5.0,929.0,2022-04-01T03:05:00+00:00
2022.0,4.0,1.0,3.0,10.0,944.0,2022-04-01T03:10:00+00:00
2022.0,4.0,1.0,3.0,15.0,956.0,2022-04-01T03:15:00+00:00
2022.0,4.0,1.0,3.0,20.0,966.0,2022-04-01T03:20:00+00:00
2022.0,4.0,1.0,3.0,25.0,976.0,2022-04-01T03:25:00+00:00
2022.0,4.0,1.0,3.0,30.0,984.0,2022-04-01T03:30:00+00:00
2022.0,4.0,1.0,3.0,35.0,989.0,2022-04-01T03:35:00+00:00
2022.0,4.0,1.0,3.0,40.0,993.0,2022-04-01T03:40:00+00:00
2022.0,4.0,1.0,3.0,45.0,996.0,2022-04-01T03:45:00+00:00
2022.0,4.0,1.0,3.0,50.0,992.0,2022-04-01T03:50:00+00:00
2022.0,4.0,1.0,3.0,55.0,986.0,2022-04-01T03:55:00+00:00
2022.0,4.0,1.0,4.0,0.0,983.0,2022-04-01T04:00:00+00:00
2022.0,4.0,1.0,4.0,5.0,975.0,2022-04-01T04:05:00+00:00
2022.0,4.0,1.0,4.0,10.0,962.0,2022-04-01T04:10:00+00:00
2022.0,4.0,1.0,4.0,15.0,957.0,2022-04-01T04:15:00+00:00
2022.0,4.0,1.0,4.0,20.0,954.0,2022-04-01T04:20:00+00:00
2022.0,4.0,1.0,4.0,25.0,952.0,2022-04-01T04:25:00+00:00
2022.0,4.0,1.0,4.0,30.0,950.0,2022-04-01T04:30:00+00:00
2022.0,4.0,1.0,4.0,35.0,949.0,2022-04-01T04:35:00+00:00
2022.0,4.0,1.0,4.0,40.0,949.0,2022-04-01T04:40:00+00:00
2022.0,4.0,1.0,4.0,45.0,950.0,2022-04-01T04:45:00+00:00
2022.0,4.0,1.0,4.0,50.0,950.0,2022-04-01T04:50:00+00:00
2022.0,4.0,1.0,4.0,55.0,951.0,2022-04-01T04:55:00+00:00
2022.0,4.0,1.0,5.0,0.0,952.0,2022-04-01T05:00:00+00:00
2022.0,4.0,1.0,5.0,5.0,961.0,2022-04-01T05:05:00+00:00
2022.0,4.0,1.0,5.0,10.0,958.0,2022-04-01T05:10:00+00:00
2022.0,4.0,1.0,5.0,15.0,958.0,2022-04-01T05:15:00+00:00
2022.0,4.0,1.0,5.0,20.0,959.0,2022-04-01T05:20:00+00:00
2022.0,4.0,1.0,5.0,25.0,960.0,2022-04-01T05:25:00+00:00
2022.0,4.0,1.0,5.0,30.0,961.0,2022-04-01T05:30:00+00:00
2022.0,4.0,1.0,5.0,35.0,961.0,2022-04-01T05:35:00+00:00
2022.0,4.0,1.0,5.0,40.0,961.0,2022-04-01T05:40:00+00:00
2022.0,4.0,1.0,5.0,45.0,961.0,2022-04-01T05:45:00+00:00
2022.0,4.0,1.0,5.0,50.0,961.0,2022-04-01T05:50:00+00:00
2022.0,4.0,1.0,5.0,55.0,961.0,2022-04-01T05:55:00+00:00
