MOER,prediction,timestamp
37.0,42.0,2019-04-01T00:00:00+00:00
46.0,43.0,2019-04-01T00:05:00+00:00
69.0,42.0,2019-04-01T00:10:00+00:00
191.0,42.0,2019-04-01T00:15:00+00:00
305.0,42.0,2019-04-01T00:20:00+00:00
610.0,42.0,2019-04-01T00:25:00+00:00
906.0,936.0,2019-04-01T00:30:00+00:00
952.0,1003.0,2019-04-01T00:35:00+00:00
953.0,979.0,2019-04-01T00:40:00+00:00
955.0,985.0,2019-04-01T00:45:00+00:00
967.0,989.0,2019-04-01T00:50:00+00:00
973.0,963.0,2019-04-01T00:55:00+00:00
966.0,959.0,2019-04-01T01:00:00+00:00
949.0,969.0,2019-04-01T01:05:00+00:00
953.0,998.0,2019-04-01T01:10:00+00:00
950.0,1005.0,2019-04-01T01:15:00+00:00
948.0,1017.0,2019-04-01T01:20:00+00:00
964.0,986.0,2019-04-01T01:25:00+00:00
956.0,969.0,2019-04-01T01:30:00+00:00
967.0,990.0,2019-04-01T01:35:00+00:00
962.0,990.0,2019-04-01T01:40:00+00:00
968.0,987.0,2019-04-01T01:45:00+00:00
968.0,996.0,2019-04-01T01:50:00+00:00
964.0,990.0,2019-04-01T01:55:00+00:00
883.0,967.0,2019-04-01T02:00:00+00:00
887.0,939.0,2019-04-01T02:05:00+00:00
887.0,939.0,2019-04-01T02:10:00+00:00
887.0,980.0,2019-04-01T02:15:00+00:00
887.0,980.0,2019-04-01T02:20:00+00:00
887.0,988.0,2019-04-01T02:25:00+00:00
889.0,988.0,2019-04-01T02:30:00+00:00
888.0,988.0,2019-04-01T02:35:00+00:00
888.0,990.0,2019-04-01T02:40:00+00:00
888.0,990.0,2019-04-01T02:45:00+00:00
888.0,989.0,2019-04-01T02:50:00+00:00
888.0,989.0,2019-04-01T02:55:00+00:00
982.0,1009.0,2019-04-01T03:00:00+00:00
982.0,1009.0,2019-04-01T03:05:00+00:00
982.0,1013.0,2019-04-01T03:10:00+00:00
983.0,1004.0,2019-04-01T03:15:00+00:00
983.0,1007.0,2019-04-01T03:20:00+00:00
981.0,1004.0,2019-04-01T03:25:00+00:00
981.0,1007.0,2019-04-01T03:30:00+00:00
981.0,1006.0,2019-04-01T03:35:00+00:00
981.0,1006.0,2019-04-01T03:40:00+00:00
982.0,1011.0,2019-04-01T03:45:00+00:00
974.0,1009.0,2019-04-01T03:50:00+00:00
994.0,1006.0,2019-04-01T03:55:00+00:00
972.0,972.0,2019-04-01T04:00:00+00:00
989.0,994.0,2019-04-01T04:05:00+00:00
1001.0,999.0,2019-04-01T04:10:00+00:00
1001.0,992.0,2019-04-01T04:15:00+00:00
998.0,993.0,2019-04-01T04:20:00+00:00
998.0,1014.0,2019-04-01T04:25:00+00:00
968.0,1017.0,2019-04-01T04:30:00+00:00
989.0,1017.0,2019-04-01T04:35:00+00:00
