STATUS       , Cloudlet ID  , User ID      , Datacenter ID , VM ID        , Run Length (sec) , Start Time (sec) , Finish Time (sec), Carbon Emitted (lbs)
SUCCESS      , 47           , 102          , 4             , 47           , 1500             , 3600             , 5100             , 0.214            
SUCCESS      , 98           , 102          , 6             , 98           , 2100             , 17400            , 19500            , 1.086            
SUCCESS      , 87           , 102          , 6             , 87           , 7200             , 27000            , 34200            , 0.378            
SUCCESS      , 85           , 102          , 6             , 85           , 10800            , 39900            , 50700            , 4.413            
SUCCESS      , 26           , 102          , 3             , 26           , 1500             , 66900            , 68400            , 0.044            
SUCCESS      , 97           , 102          , 6             , 97           , 2700             , 78900            , 81600            , 0.004            
SUCCESS      , 65           , 102          , 4             , 65           , 12000            , 80400            , 92400            , 4.677            
SUCCESS      , 48           , 102          , 4             , 48           , 1200             , 139800           , 141000           , 0.002            
SUCCESS      , 11           , 102          , 2             , 11           , 3000             , 147900           , 150900           , 0.015            
SUCCESS      , 46           , 102          , 4             , 46           , 2400             , 190500           , 192900           , 0                
SUCCESS      , 0            , 102          , 2             , 0            , 1500             , 228300           , 229800           , 0.088            
SUCCESS      , 69           , 102          , 4             , 69           , 6300             , 225600           , 231900           , 0.188            
SUCCESS      , 54           , 102          , 4             , 54           , 3000             , 247500           , 250500           , 0.019            
SUCCESS      , 19           , 102          , 3             , 19           , 2400             , 273600           , 276000           , 0                
SUCCESS      , 36           , 102          , 3             , 36           , 1200             , 324000           , 325200           , 0.007            
SUCCESS      , 39           , 102          , 3             , 39           , 1200             , 347400           , 348600           , 0.026            
SUCCESS      , 80           , 102          , 5             , 80           , 1200             , 379200           , 380400           , 1.024            
SUCCESS      , 21           , 102          , 3             , 21           , 4500             , 437700           , 442200           , 2.355            
SUCCESS      , 34           , 102          , 3             , 34           , 1500             , 448500           , 450000           , 0.045            
SUCCESS      , 61           , 102          , 4             , 61           , 6000             , 444000           , 450000           , 1.682            
SUCCESS      , 43           , 102          , 3             , 43           , 1500             , 500700           , 502200           , 0.101            
SUCCESS      , 60           , 102          , 4             , 60           , 2100             , 501000           , 503100           , 0.134            
