vm id (in sim), user id     , ram (GB)    , num CPU       , power (watt)      , avg. util (%)   , start (sec)   , end (sec)     
0             , 102         , 4           , 2             , 655.69            , 13.88           , 228300        , 229800        
1             , 102         , 32          , 4             , 867.27            , 21.51           , 1702800       , 1735800       
2             , 102         , 8           , 2             , 157.85            , 3.20            , 2125800       , 2130600       
3             , 102         , 8           , 2             , 1593.56           , 37.31           , 1983900       , 2018700       
4             , 102         , 4           , 2             , 432.17            , 8.57            , 1726500       , 1727700       
5             , 102         , 8           , 2             , 802.35            , 18.51           , 2213100       , 2214600       
6             , 102         , 64          , 24            , 1118.21           , 5.35            , 1841400       , 1842600       
7             , 102         , 32          , 8             , 849.26            , 19.76           , 1678500       , 1717500       
8             , 102         , 32          , 4             , 133.26            , 3.35            , 1794600       , 1796700       
9             , 102         , 4           , 2             , 126.45            , 1.31            , 544800        , 610800        
10            , 102         , 32          , 4             , 0.00              , 0.03            , 1157700       , 1159800       
11            , 102         , 4           , 2             , 176.21            , 2.49            , 147900        , 150900        
12            , 102         , 32          , 4             , 1082.98           , 26.85           , 1917000       , 1918500       
13            , 102         , 64          , 24            , 1202.01           , 5.80            , 1546500       , 1553400       
14            , 102         , 8           , 2             , 1999.07           , 46.94           , 1012500       , 1014300       
15            , 102         , 32          , 4             , 46.87             , 1.21            , 2162400       , 2193900       
16            , 102         , 8           , 4             , 527.74            , 12.64           , 1210500       , 1240800       
17            , 102         , 4           , 2             , 1539.89           , 34.88           , 890400        , 899100        
18            , 102         , 8           , 2             , 632.67            , 14.48           , 1809300       , 1880400       
19            , 102         , 32          , 4             , 0.00              , 0.04            , 273600        , 276000        
20            , 102         , 32          , 4             , 3046.88           , 75.45           , 782400        , 784200        
21            , 102         , 4           , 2             , 2103.14           , 48.26           , 437700        , 442200        
22            , 102         , 32          , 8             , 191.35            , 4.15            , 2192100       , 2196900       
23            , 102         , 8           , 2             , 261.90            , 5.68            , 886500        , 888000        
24            , 102         , 8           , 2             , 1292.38           , 30.15           , 2403900       , 2484300       
25            , 102         , 8           , 2             , 1996.24           , 46.87           , 1815600       , 1818000       
26            , 102         , 8           , 2             , 2151.51           , 50.56           , 66900         , 68400         
27            , 102         , 32          , 4             , 234.65            , 5.86            , 1636800       , 1638000       
28            , 102         , 32          , 4             , 73.57             , 1.87            , 2235000       , 2238000       
29            , 102         , 8           , 2             , 1768.21           , 41.45           , 1800600       , 1832100       
30            , 102         , 32          , 4             , 1983.63           , 49.14           , 1610100       , 1613100       
31            , 102         , 64          , 24            , 246.66            , 0.72            , 2302800       , 2304000       
32            , 102         , 8           , 2             , 199.22            , 4.19            , 753300        , 757800        
33            , 102         , 8           , 2             , 413.11            , 9.27            , 1032300       , 1033800       
34            , 102         , 4           , 2             , 103.66            , 0.76            , 448500        , 450000        
35            , 102         , 32          , 4             , 0.00              , 0.03            , 693000        , 694500        
36            , 102         , 8           , 4             , 470.88            , 11.23           , 324000        , 325200        
37            , 102         , 32          , 4             , 0.00              , 0.04            , 1843800       , 1845300       
38            , 102         , 64          , 24            , 1505.88           , 7.41            , 2021400       , 2023800       
39            , 102         , 32          , 8             , 86.21             , 1.65            , 347400        , 348600        
40            , 102         , 32          , 4             , 45.35             , 1.17            , 2259300       , 2264100       
41            , 102         , 32          , 4             , 158.21            , 3.97            , 1880100       , 1881300       
42            , 102         , 32          , 4             , 3106.85           , 76.94           , 1062600       , 1064400       
43            , 102         , 8           , 2             , 454.85            , 10.26           , 500700        , 502200        
44            , 102         , 8           , 2             , 2134.81           , 50.16           , 1698000       , 1706400       
45            , 102         , 8           , 2             , 1966.28           , 46.16           , 1885500       , 1890300       
46            , 102         , 32          , 4             , 0.00              , 0.04            , 190500        , 192900        
47            , 102         , 2           , 2             , 548.05            , 10.74           , 3600          , 5100          
48            , 102         , 4           , 2             , 100.94            , 0.70            , 139800        , 141000        
49            , 102         , 2           , 2             , 1688.82           , 37.84           , 2098800       , 2101200       
50            , 102         , 8           , 2             , 611.91            , 13.99           , 713400        , 729300        
51            , 102         , 4           , 2             , 455.25            , 9.12            , 1040400       , 1054500       
52            , 102         , 8           , 2             , 231.65            , 4.96            , 1089000       , 1095600       
53            , 102         , 8           , 2             , 1110.05           , 25.82           , 636600        , 647100        
54            , 102         , 4           , 2             , 435.94            , 8.66            , 247500        , 250500        
55            , 102         , 8           , 2             , 287.65            , 6.29            , 2145900       , 2147400       
56            , 102         , 8           , 2             , 465.31            , 10.51           , 1682100       , 1683300       
57            , 102         , 8           , 2             , 2279.34           , 53.60           , 1510800       , 1515600       
58            , 102         , 4           , 2             , 190.27            , 2.82            , 2258100       , 2259300       
59            , 102         , 64          , 24            , 256.75            , 0.77            , 587700        , 596400        
60            , 102         , 4           , 2             , 442.90            , 8.82            , 501000        , 503100        
61            , 102         , 4           , 2             , 1007.78           , 22.24           , 444000        , 450000        
62            , 102         , 8           , 2             , 973.89            , 22.59           , 1110600       , 1117500       
63            , 102         , 8           , 2             , 1291.17           , 30.12           , 1186200       , 1189800       
64            , 102         , 8           , 2             , 1227.23           , 28.60           , 1212900       , 1214400       
65            , 102         , 8           , 2             , 3066.12           , 72.28           , 80400         , 92400         
66            , 102         , 8           , 2             , 40.62             , 0.42            , 524100        , 546900        
67            , 102         , 64          , 24            , 7624.45           , 39.92           , 1794600       , 1797600       
68            , 102         , 32          , 8             , 114.14            , 2.31            , 1369800       , 1455300       
69            , 102         , 4           , 2             , 295.46            , 5.32            , 225600        , 231900        
70            , 102         , 32          , 4             , 0.00              , 0.02            , 2505900       , 2536800       
71            , 102         , 8           , 2             , 971.61            , 22.53           , 2412900       , 2414700       
72            , 102         , 32          , 8             , 119.83            , 2.45            , 546900        , 549300        
73            , 102         , 8           , 2             , 1002.85           , 23.28           , 2476200       , 2480400       
74            , 102         , 8           , 2             , 1263.85           , 29.47           , 746700        , 753000        
75            , 102         , 32          , 8             , 224.05            , 4.92            , 960000        , 964500        
76            , 102         , 4           , 2             , 396.41            , 7.72            , 1553700       , 1564200       
77            , 102         , 8           , 2             , 451.19            , 10.17           , 1422900       , 1424400       
78            , 102         , 4           , 2             , 448.76            , 8.96            , 2326800       , 2381700       
79            , 102         , 4           , 2             , 175.03            , 2.46            , 2130600       , 2132700       
80            , 102         , 4           , 2             , 3308.09           , 76.88           , 379200        , 380400        
81            , 102         , 32          , 4             , 0.00              , 0.03            , 819600        , 822000        
82            , 102         , 2           , 2             , 2165.15           , 49.15           , 829800        , 896100        
83            , 102         , 64          , 24            , 2090.08           , 10.51           , 2338800       , 2340300       
84            , 102         , 32          , 4             , 0.00              , 0.04            , 657300        , 658500        
85            , 102         , 32          , 8             , 1415.86           , 33.21           , 39900         , 50700         
86            , 102         , 8           , 2             , 324.13            , 7.15            , 763200        , 771000        
87            , 102         , 4           , 2             , 200.71            , 3.07            , 27000         , 34200         
88            , 102         , 4           , 2             , 861.07            , 18.75           , 1140000       , 1188000       
89            , 102         , 32          , 4             , 942.52            , 23.38           , 751200        , 752400        
90            , 102         , 4           , 2             , 1975.00           , 45.21           , 512400        , 529200        
91            , 102         , 4           , 2             , 735.73            , 15.78           , 579900        , 581100        
92            , 102         , 4           , 2             , 151.68            , 1.90            , 2377200       , 2442900       
